"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 06:13:00 UTC 2026","Wed Apr 29 06:13:02 UTC 2026","2241","tests.api.accounts","test_accounts_card_attribute_attachments","TestAccountsCardAttributeAttachments","","","POST card -> GET /accounts/{id}/cards/{cardId}/attributes/attachments -> DELETE","
    GET /accounts/{id}/cards/{cardId}/attributes/attachments
    "
"passed","Wed Apr 29 06:12:58 UTC 2026","Wed Apr 29 06:12:59 UTC 2026","1351","tests.api.account_tokens","test_account_tokens_get","TestAccountTokensGet","","","POST /accounttokens/ -> GET /accounttokens/{token} -> 200","
    POST /accounttokens/ -> GET /accounttokens/{token}
    "
"passed","Wed Apr 29 06:13:59 UTC 2026","Wed Apr 29 06:13:59 UTC 2026","570","tests.api.cards","test_card_attributes_list","TestCardAttributesList","","","GET /cards/{id}/attributes/","
    GET /cards/{id}/attributes/
    "
"passed","Wed Apr 29 06:19:20 UTC 2026","Wed Apr 29 06:19:21 UTC 2026","1152","tests.e2e.company","test_company_create_get_delete_flow","TestCompanyCreateGetDeleteFlow","","","POST /Companies → GET /Companies (in list) → DELETE /Companies/{id}","/Companies — create, get list, delete flow"
"passed","Wed Apr 29 06:19:04 UTC 2026","Wed Apr 29 06:19:05 UTC 2026","823","tests.api.exports","test_exports_employment","TestExportsEmployment","","","GET /Exports/employment returns XLSX for noData=true","
    /Exports/employment
    "
"passed","Wed Apr 29 06:19:36 UTC 2026","Wed Apr 29 06:19:45 UTC 2026","9418","tests.e2e.employee","test_employee_invitation_add_moveincompany_delete_flow","TestEmployeeInvitationAddMoveInCompanyDeleteFlow","","","POST invitations x4 → list → PATCH move → list in target → DELETE → absent in target","/Employee — create 4 via invitation, verify, move to target company, verify, delete flow"
"passed","Wed Apr 29 06:13:45 UTC 2026","Wed Apr 29 06:13:46 UTC 2026","566","tests.api.applications","test_applications_list","TestApplicationsList","","","GET /Applications returns applications list","
    /Applications
    "
"passed","Wed Apr 29 06:15:17 UTC 2026","Wed Apr 29 06:15:19 UTC 2026","1784","tests.api.cards","test_cardlinks_statistic_events","TestCardLinksStatisticEvents","","","POST /Cards -> PUT statisticview -> PUT statisticdownload -> DELETE /Cards/{id}","
    /cardlinks/{cardLink}/statisticview и /cardlinks/{cardLink}/statisticdownload
    "
"passed","Wed Apr 29 06:16:46 UTC 2026","Wed Apr 29 06:16:48 UTC 2026","1679","tests.api.companies","test_companies_create_update_get_delete_flow_api","TestCompanyCreateUpdateGetDeleteFlow","","","POST /Companies -> PUT /Companies/{id} -> GET /Companies/{id} -> DELETE /Companies/{id}","
    /Companies
    "
"passed","Wed Apr 29 06:14:44 UTC 2026","Wed Apr 29 06:14:44 UTC 2026","709","tests.api.cards","test_card_metrics","TestCardMetrics","","","POST /Cards -> GET /Cards/{id}/metrics -> DELETE /Cards/{id}","
    /Cards/{cardID}/metrics
    "
"passed","Wed Apr 29 06:15:05 UTC 2026","Wed Apr 29 06:15:09 UTC 2026","4045","tests.api.cards","test_cardlinks_list","TestCardLinksList","","","GET /Cards -> GET /cardLinks?accountUriName=...","
    /cardLinks?accountUriName=...
    "
"passed","Wed Apr 29 06:16:44 UTC 2026","Wed Apr 29 06:16:44 UTC 2026","859","tests.api.companies","test_companies_create_get_delete_flow_api","TestCompanyCreateGetDeleteFlow","","","POST /Companies -> GET /Companies/{id} -> DELETE /Companies/{id}","
    /Companies
    "
"passed","Wed Apr 29 06:16:50 UTC 2026","Wed Apr 29 06:16:52 UTC 2026","1204","tests.api.companies","test_companies_designsettings_flow_api","TestCompanyDesignsettingsFlow","","","POST /Companies -> PUT designsettings -> GET designsettings -> DELETE /Companies/{id}","
    /Companies/{companyID}/designsettings
    "
"passed","Wed Apr 29 06:12:55 UTC 2026","Wed Apr 29 06:12:55 UTC 2026","565","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","014 MobileAccountSelfRegVerification smoke — random push_token + guid → not 5xx",""
"passed","Wed Apr 29 06:19:16 UTC 2026","Wed Apr 29 06:19:20 UTC 2026","3363","tests.e2e.company","test_company_create_and_edit_get_delete_flow","TestCompanyCreateEditDeleteFlow","","","POST /Companies → GET → PUT → GET → DELETE","/Companies — create, edit, get, delete flow"
"passed","Wed Apr 29 06:13:13 UTC 2026","Wed Apr 29 06:13:18 UTC 2026","4991","tests.api.accounts","test_accounts_card_leadgen_forms","TestAccountsCardLeadGenForms","","","POST /Cards -> POST /Accounts/{accountID}/Cards/{cardID}/leadGenForms -> GET list -> GET by id","
    /Accounts/{accountID}/Cards/{cardID}/leadGenForms
    "
"passed","Wed Apr 29 06:19:01 UTC 2026","Wed Apr 29 06:19:03 UTC 2026","2422","tests.api.contacts","test_contacts_flow","TestContactsFlow","","","Create -> Get -> Update -> Delete contact",""
"passed","Wed Apr 29 06:14:58 UTC 2026","Wed Apr 29 06:14:59 UTC 2026","1330","tests.api.cards","test_cardlinks_download","TestCardLinksDownload","","","POST /Cards -> GET /cardLinks/{cardLink}/card/download -> DELETE /Cards/{id}","
    /cardLinks/{cardLink}/card/download
    "
"passed","Wed Apr 29 06:13:08 UTC 2026","Wed Apr 29 06:13:09 UTC 2026","1294","tests.api.accounts","test_accounts_card_get","TestAccountsCardGet","","","POST /Cards -> GET /Accounts/{accountID}/Cards/{cardID}","
    /Accounts/{accountID}/Cards/{cardID}
    /Accounts/{accountID}/Cards/{cardID}/V2
    "
"passed","Wed Apr 29 06:14:07 UTC 2026","Wed Apr 29 06:14:07 UTC 2026","637","tests.api.cards","test_card_leadgen_forms","TestCardLeadGenForms","","","POST /Cards -> GET /Cards/{id}/leadGenForms -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms
    "
"passed","Wed Apr 29 06:19:08 UTC 2026","Wed Apr 29 06:19:09 UTC 2026","553","tests.api.metrics","test_metric_types","TestMetricTypes","","","GET /MetricTypes returns metric types list","
    /MetricTypes
    "
"passed","Wed Apr 29 06:19:06 UTC 2026","Wed Apr 29 06:19:07 UTC 2026","562","tests.api.leadgen","test_leadgen_form_fields","TestLeadGenFormFields","","","GET /LeadGenFormFields returns fields list","
    /LeadGenFormFields
    "
"passed","Wed Apr 29 06:13:48 UTC 2026","Wed Apr 29 06:13:48 UTC 2026","549","tests.api.attribute_type_groups","test_attribute_type_groups_list","TestAttributeTypeGroupsList","","","GET /AttributeTypeGroups returns dictionary","
    /AttributeTypeGroups
    "
"passed","Wed Apr 29 06:19:14 UTC 2026","Wed Apr 29 06:19:15 UTC 2026","844","tests.api.subscriptions","test_subscription_request","TestSubscriptionRequest","","","POST /Subscriptions/request — random email","
    POST /Subscriptions/request  (public, no auth required)
    "
"passed","Wed Apr 29 06:15:39 UTC 2026","Wed Apr 29 06:15:40 UTC 2026","865","tests.api.cards","test_cards_by_id_short_flow","TestCardsByIdShort","","","POST /Cards -> GET /Cards/{id}/short -> DELETE /Cards/{id}","
    /Cards/{id}/short
    "
"passed","Wed Apr 29 06:13:29 UTC 2026","Wed Apr 29 06:13:32 UTC 2026","2405","tests.api.accounts","test_accounts_card_metrics","TestAccountsCardMetrics","","","POST /Cards -> PUT /Cards/{id}/metrics -> GET /Accounts/{accountID}/Cards/{cardID}/metrics","
    /Accounts/{accountID}/Cards/{cardID}/metrics
    "
"passed","Wed Apr 29 06:13:50 UTC 2026","Wed Apr 29 06:13:51 UTC 2026","581","tests.api.attributes","test_attributes_list","TestAttributesList","","","GET /Attributes → 200, non-empty list with valid items","
    /Attributes
    "
"passed","Wed Apr 29 06:19:13 UTC 2026","Wed Apr 29 06:19:13 UTC 2026","565","tests.api.social_networks","test_social_networks_list","TestSocialNetworksList","","","GET /socialNetworks returns list","
    /socialNetworks
    "
"passed","Wed Apr 29 06:16:24 UTC 2026","Wed Apr 29 06:16:25 UTC 2026","712","tests.api.cards","test_cards_list","TestCardsList","","","GET /Cards returns cards list","
    Проверки списков /Cards и /Cards/v2.0.
    "
"passed","Wed Apr 29 06:15:30 UTC 2026","Wed Apr 29 06:15:36 UTC 2026","5647","tests.api.cards","test_cards_attachments_sortorder_flow","TestCardsAttachmentsSortOrderFlow","","","POST /Cards -> PUT /Cards/{id}/V2 gallery -> GET/PUT /Cards/{id}/attachments/sortorder","
    /Cards/{cardID}/attachments/sortorder
    "
"passed","Wed Apr 29 06:13:34 UTC 2026","Wed Apr 29 06:13:35 UTC 2026","952","tests.api.accounts","test_accounts_contacts","TestAccountsContacts","","","GET /accounts/contacts with searchText filter → 200/206","
    /accounts/contacts
    "
"passed","Wed Apr 29 06:17:57 UTC 2026","Wed Apr 29 06:17:58 UTC 2026","562","tests.api.contacts","test_contacts_downloads","TestContactsDownloads","","","GET /accounts/contacts/{contact_id}/download returns VCF",""
"passed","Wed Apr 29 06:12:56 UTC 2026","Wed Apr 29 06:12:57 UTC 2026","833","tests.api.account_tokens","test_account_tokens_add","TestAccountTokensAdd","","","POST /accounttokens/ -> 201 Created","
    POST /accounttokens/
    "
"passed","Wed Apr 29 06:13:42 UTC 2026","Wed Apr 29 06:13:43 UTC 2026","565","tests.api.accounts","test_accounts_exists","TestAccountsExists","","","Exists returns true for known email","
    /accounts/Exists
    "
"passed","Wed Apr 29 06:13:33 UTC 2026","Wed Apr 29 06:13:34 UTC 2026","613","tests.api.accounts","test_accounts_contacts","TestAccountsContacts","","","GET /accounts/contacts → 200/206, validate response structure","
    /accounts/contacts
    "
"passed","Wed Apr 29 06:16:53 UTC 2026","Wed Apr 29 06:16:54 UTC 2026","606","tests.api.companies","test_companies_list","TestCompaniesList","","","GET /Companies returns companies list","
    /Companies
    "
"passed","Wed Apr 29 06:13:36 UTC 2026","Wed Apr 29 06:13:41 UTC 2026","4640","tests.api.accounts","test_accounts_custom_message_templates","TestAccountsCustomMessageTemplates","","","POST /Cards -> POST template -> GET list -> GET by id -> PUT -> DELETE template","
    /Accounts/{accountID}/CustomMessageTemplates
    "
"passed","Wed Apr 29 06:16:07 UTC 2026","Wed Apr 29 06:16:08 UTC 2026","620","tests.api.cards","test_cards_customlink","TestCardsCustomLink","","","GET /Cards/customlink returns custom links list","
    /Cards/customlink
    "
"passed","Wed Apr 29 06:16:09 UTC 2026","Wed Apr 29 06:16:10 UTC 2026","598","tests.api.cards","test_cards_designsettings_by_id_flow","TestCardsDesignsettingsByIdFlow","","","POST /Cards -> GET /Cards/{id}/designSettings -> DELETE /Cards/{id}","
    /Cards/{cardID}/designSettings
    "
"passed","Wed Apr 29 06:12:45 UTC 2026","Wed Apr 29 06:12:46 UTC 2026","1043","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","012 MobileAccountVerification smoke",""
"passed","Wed Apr 29 06:14:25 UTC 2026","Wed Apr 29 06:14:27 UTC 2026","1233","tests.api.cards","test_card_link_attributes","TestCardLinkAttributes","","","GET /Accounts/{id}/Cards/links -> GET /cards/{token}/cardLink/attributes","
    GET /cards/{token}/cardLink/attributes
    "
"passed","Wed Apr 29 06:13:43 UTC 2026","Wed Apr 29 06:13:43 UTC 2026","761","tests.api.accounts","test_accounts_get","TestAccountsGet","","","GET /accounts/{id} returns account data","
    /accounts/{id}
    "
"passed","Wed Apr 29 06:16:27 UTC 2026","Wed Apr 29 06:16:30 UTC 2026","3165","tests.api.cards","test_cards_show_hide_flow","TestCardsShowHideFlow","","","POST /Cards -> PUT /Cards/hide -> GET /Cards/{id} -> PUT /Cards/show -> GET /Cards/{id}","
    /Cards/hide и /Cards/show
    "
"passed","Wed Apr 29 06:19:09 UTC 2026","Wed Apr 29 06:19:10 UTC 2026","629","tests.api.powerbi_reports","test_powerbi_reports_list","TestPowerBIReportsList","","","GET /powerbireports/ -> 200/204","
    GET /powerbireports/
    "
"passed","Wed Apr 29 06:19:05 UTC 2026","Wed Apr 29 06:19:06 UTC 2026","1885","tests.api.exports","test_exports_statistic","TestExportsStatistic","","","GET /Exports returns 200","
    /Exports
    "
"passed","Wed Apr 29 06:13:44 UTC 2026","Wed Apr 29 06:13:45 UTC 2026","585","tests.api.accounts","test_accounts_subscription_hadpremium","TestAccountsSubscriptionHadPremium","","","GET /accounts/subscription/hadpremium returns boolean flag","
    /accounts/subscription/hadpremium
    "
