"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 23 23:51:43 UTC 2026","Sat May 23 23:51:43 UTC 2026","644","tests.api.locations","test_location_by_id","TestLocationById","","","GET /Locations/{id} returns location data","
    /Locations/{id}
    "
"passed","Sat May 23 23:45:31 UTC 2026","Sat May 23 23:45:36 UTC 2026","5375","tests.api.accounts","test_accounts_card_leadgen_forms","TestAccountsCardLeadGenForms","","","POST /Cards -> POST /Accounts/{accountID}/Cards/{cardID}/leadGenForms -> GET list -> GET by id","
    /Accounts/{accountID}/Cards/{cardID}/leadGenForms
    "
"passed","Sat May 23 23:48:33 UTC 2026","Sat May 23 23:48:36 UTC 2026","3078","tests.api.cards","test_cards_create_v2_flow","TestCardsCreateV2Flow","","","POST /Cards/V2.0 -> GET /Cards/{id}/V2","
    /Cards/V2.0
    "
"passed","Sat May 23 23:49:25 UTC 2026","Sat May 23 23:49:25 UTC 2026","688","tests.api.companies","test_companies_list","TestCompaniesList","","","GET /Companies returns companies list","
    /Companies
    "
"passed","Sat May 23 23:46:09 UTC 2026","Sat May 23 23:46:10 UTC 2026","643","tests.api.attribute_forms","test_attribute_forms_list","TestAttributeFormsList","","","GET /AttributeForms returns forms list","
    /AttributeForms
    "
"passed","Sat May 23 23:45:56 UTC 2026","Sat May 23 23:46:02 UTC 2026","5351","tests.api.accounts","test_accounts_custom_message_templates","TestAccountsCustomMessageTemplates","","","POST /Cards -> POST template -> GET list -> GET by id -> PUT -> DELETE template","
    /Accounts/{accountID}/CustomMessageTemplates
    "
"passed","Sat May 23 23:47:53 UTC 2026","Sat May 23 23:47:55 UTC 2026","2053","tests.api.cards","test_cardlinks_update","TestCardLinksUpdate","","","POST /Cards -> PUT /cardlinks/{cardLink} -> GET /cardlinks/{cardLink} -> DELETE /Cards/{id}","
    /cardlinks/{cardLink}
    "
"passed","Sat May 23 23:47:04 UTC 2026","Sat May 23 23:47:06 UTC 2026","2669","tests.api.cards","test_card_link_metrics","TestCardLinkMetrics","","","POST /Cards -> PUT metrics -> GET /Cards/{cardLinkId}/cardLink/metrics -> DELETE /Cards/{id}","
    /Cards/{id}/cardLink/metrics
    "
"passed","Sat May 23 23:51:50 UTC 2026","Sat May 23 23:51:50 UTC 2026","684","tests.api.subscriptions","test_subscription_contacts_list","TestSubscriptionContactsList","","","GET /Subscriptions/{id}/contacts","
    GET /Subscriptions/{id}/contacts
    "
"passed","Sat May 23 23:51:34 UTC 2026","Sat May 23 23:51:35 UTC 2026","978","tests.api.contacts","test_contacts_flow","TestContactsFlow","","","GET /accounts/contacts returns list",""
"passed","Sat May 23 23:46:34 UTC 2026","Sat May 23 23:46:36 UTC 2026","1967","tests.api.cards","test_card_leadgen_forms_crud_flow","TestCardLeadGenFormsCrudFlow","","","POST /Cards -> POST leadGenForm -> GET leadGenForms -> DELETE leadGenForm -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms
    "
"passed","Sat May 23 23:45:18 UTC 2026","Sat May 23 23:45:19 UTC 2026","677","tests.api.accounts","test_accounts_accept_user_terms","TestAccountsAcceptUserTerms","","","PUT /accounts/this/acceptUserTerms accepts terms","
    /accounts/this/acceptUserTerms
    "
"passed","Sat May 23 23:46:30 UTC 2026","Sat May 23 23:46:31 UTC 2026","670","tests.api.cards","test_card_leadgen_forms","TestCardLeadGenForms","","","POST /Cards -> GET /Cards/{id}/leadGenForms -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms
    "
"passed","Sat May 23 23:51:53 UTC 2026","Sat May 23 23:51:56 UTC 2026","2467","tests.e2e.company","test_company_create_and_edit_get_delete_flow","TestCompanyCreateEditDeleteFlow","","","POST /Companies → GET → PUT → GET → DELETE","/Companies — create, edit, get, delete flow"
"passed","Sat May 23 23:46:50 UTC 2026","Sat May 23 23:46:51 UTC 2026","1415","tests.api.cards","test_card_link_attributes","TestCardLinkAttributes","","","GET /Accounts/{id}/Cards/links -> GET /cards/{token}/cardLink/attributes","
    GET /cards/{token}/cardLink/attributes
    "
"passed","Sat May 23 23:46:53 UTC 2026","Sat May 23 23:46:55 UTC 2026","2653","tests.api.cards","test_card_link_leadgen_form_by_id","TestCardLinkLeadGenFormById","","","POST leadGenForm -> GET /Cards/{cardLinkId}/cardLink/leadGenForms/{formId} -> DELETE","
    GET /Cards/{cardLinkId}/cardLink/leadGenForms/{formId}
    "
"passed","Sat May 23 23:49:10 UTC 2026","Sat May 23 23:49:12 UTC 2026","1926","tests.api.cards","test_cards_update_v2_flow","TestCardsUpdateV2Flow","","","POST /Cards -> PUT /Cards/{id}/V2 -> GET /Cards/{id}/V2 -> DELETE /Cards/{id}","
    /Cards/{id}/V2
    "
"passed","Sat May 23 23:51:42 UTC 2026","Sat May 23 23:51:43 UTC 2026","639","tests.api.leadgen","test_leadgen_form_fields","TestLeadGenFormFields","","","GET /LeadGenFormFields returns fields list","
    /LeadGenFormFields
    "
